,data,variable,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
240,02-25-2021,Totale vaccinazioni,172963.0,55468.0,67638.0,321326.0,452033.0,145083.0,382744.0,164386.0,1010495.0,147827.0,17280.0,2657.0,73931.0,593246.0,493790.0,63281.0,358534.0,241318.0,15094.0,16700.0,30570.0
241,02-25-2021,Totale vaccinazioni ogni cento ab,13.25,9.92,3.47,5.54,10.14,11.94,6.51,10.6,10.04,9.69,5.65,0.5,13.66,13.62,12.26,3.86,7.17,6.47,1.71,13.29,0.62
244,02-26-2021,Totale vaccinazioni,58343.0,67262.0,177240.0,208464.0,538393.0,61302.0,133846.0,129214.0,476866.0,197249.0,29021.0,15491.0,5139.0,55003.0,234247.0,24275.0,463208.0,52575.0,37245.0,5908.0,225132.0
245,02-26-2021,Totale vaccinazioni ogni cento ab,4.47,12.03,9.1,3.59,12.07,5.04,2.28,8.33,4.74,12.93,9.5,2.91,0.95,1.26,5.81,1.48,9.26,1.41,4.22,4.7,4.59
248,02-27-2021,Totale vaccinazioni,42727.0,9355.0,81451.0,421002.0,125096.0,102716.0,281009.0,141470.0,1035889.0,91829.0,3094.0,59614.0,25557.0,170731.0,379171.0,37692.0,629426.0,340007.0,1658.0,5030.0,8959.0
249,02-27-2021,Totale vaccinazioni ogni cento ab,3.27,1.67,4.18,7.26,2.81,8.45,4.78,9.12,10.3,6.02,1.01,11.18,4.72,3.92,9.41,2.3,12.59,9.12,0.19,4.0,0.18
252,02-28-2021,Totale vaccinazioni,49163.0,57901.0,132948.0,531965.0,241851.0,142016.0,618658.0,160948.0,242569.0,26067.0,22670.0,,67412.0,571093.0,448836.0,128858.0,27486.0,146684.0,,18588.0,340767.0
253,02-28-2021,Totale vaccinazioni ogni cento ab,3.77,10.36,6.83,9.17,5.42,11.69,10.52,10.38,2.41,1.71,7.42,,12.45,13.11,11.14,7.86,0.55,3.93,,14.79,6.95
256,03-01-2021,Totale vaccinazioni,121436.0,10189.0,61088.0,387937.0,553684.0,8960.0,499935.0,136742.0,738997.0,39679.0,20405.0,26845.0,56279.0,380919.0,426793.0,87936.0,250383.0,192018.0,74262.0,1808.0,126157.0
257,03-01-2021,Totale vaccinazioni ogni cento ab,9.31,1.82,3.14,6.69,12.42,0.74,8.5,8.82,7.35,2.6,6.68,5.04,10.4,8.74,10.59,5.36,5.01,5.15,8.42,1.44,2.57
260,03-02-2021,Totale vaccinazioni,130526.0,19513.0,88867.0,259734.0,39867.0,139348.0,163572.0,133251.0,1095208.0,178704.0,44190.0,48792.0,30842.0,408637.0,56511.0,163603.0,88122.0,141688.0,71902.0,13822.0,628640.0
261,03-02-2021,Totale vaccinazioni ogni cento ab,10.0,3.49,4.56,4.48,0.89,11.47,2.78,8.59,10.89,11.72,14.46,9.15,5.7,9.38,1.4,9.98,1.76,3.8,8.15,11.0,12.81
264,03-03-2021,Totale vaccinazioni,138534.0,47101.0,15777.0,293754.0,677526.0,47154.0,483319.0,88847.0,1184694.0,112823.0,6645.0,1162.0,29138.0,133419.0,108398.0,47727.0,373225.0,106378.0,6093.0,9146.0,518044.0
265,03-03-2021,Totale vaccinazioni ogni cento ab,10.62,8.42,0.81,5.06,15.19,3.88,8.22,5.73,11.78,7.4,2.17,0.22,5.38,3.06,2.69,2.91,7.46,2.85,0.69,7.28,10.56
268,03-04-2021,Totale vaccinazioni,10624.0,38734.0,167711.0,553599.0,291727.0,21901.0,441195.0,42060.0,409853.0,172143.0,31946.0,28514.0,40520.0,492429.0,19165.0,115943.0,317124.0,297210.0,59645.0,15046.0,138847.0
269,03-04-2021,Totale vaccinazioni ogni cento ab,0.81,6.93,8.61,9.54,6.54,1.8,7.5,2.71,4.07,11.29,10.45,5.35,7.48,11.3,0.48,7.07,6.34,7.97,6.76,11.97,2.83
272,03-05-2021,Totale vaccinazioni,54424.0,65114.0,130781.0,195135.0,88382.0,68128.0,719621.0,204634.0,504713.0,106073.0,26005.0,67955.0,18013.0,15246.0,264949.0,141572.0,301930.0,399027.0,96953.0,812.0,570078.0
273,03-05-2021,Totale vaccinazioni ogni cento ab,4.17,11.65,6.72,3.36,1.98,5.61,12.24,13.2,5.02,6.95,8.51,12.75,3.33,0.35,6.58,8.63,6.04,10.7,10.99,0.65,11.62
276,03-06-2021,Totale vaccinazioni,102477.0,48451.0,160098.0,51561.0,193489.0,50903.0,807260.0,120833.0,430636.0,130548.0,1728.0,35771.0,57925.0,103960.0,406408.0,42498.0,422599.0,467981.0,54888.0,6181.0,308439.0
277,03-06-2021,Totale vaccinazioni ogni cento ab,7.85,8.67,8.22,0.89,4.34,4.19,13.73,7.79,4.28,8.56,0.57,6.71,10.7,2.39,10.09,2.59,8.45,12.55,6.22,4.92,6.29
280,03-07-2021,Totale vaccinazioni,110968.0,22778.0,70769.0,628345.0,28275.0,150927.0,460742.0,166324.0,1072606.0,119232.0,9395.0,85548.0,27502.0,218194.0,210267.0,160865.0,402847.0,421218.0,44414.0,10654.0,613259.0
281,03-07-2021,Totale vaccinazioni ogni cento ab,8.5,4.07,3.63,10.83,0.63,12.42,7.84,10.73,10.66,7.82,3.07,16.05,5.08,5.01,5.22,9.81,8.06,11.29,5.04,8.48,12.5
284,03-08-2021,Totale vaccinazioni,126563.0,35314.0,98464.0,76010.0,494526.0,114552.0,264646.0,65626.0,325400.0,203600.0,33968.0,49979.0,51601.0,369222.0,330601.0,149171.0,146712.0,58827.0,63310.0,6662.0,583423.0
285,03-08-2021,Totale vaccinazioni ogni cento ab,9.7,6.32,5.06,1.31,11.09,9.43,4.5,4.23,3.23,13.35,11.11,9.38,9.53,8.48,8.21,9.1,2.93,1.58,7.18,5.3,11.89
288,03-09-2021,Totale vaccinazioni,83019.0,61081.0,10912.0,360884.0,634822.0,6120.0,417791.0,98397.0,221379.0,59727.0,28458.0,83695.0,2233.0,195585.0,142293.0,93076.0,508989.0,338062.0,25916.0,12363.0,111057.0
289,03-09-2021,Totale vaccinazioni ogni cento ab,6.36,10.93,0.56,6.22,14.24,0.5,7.11,6.35,2.2,3.92,9.31,15.7,0.41,4.49,3.53,5.68,10.18,9.06,2.94,9.84,2.26
292,03-10-2021,Totale vaccinazioni,146266.0,17929.0,189336.0,91236.0,345886.0,131026.0,214078.0,60047.0,638280.0,7903.0,4831.0,77510.0,46362.0,275876.0,479378.0,159275.0,555792.0,514950.0,30533.0,12159.0,373734.0
293,03-10-2021,Totale vaccinazioni ogni cento ab,11.21,3.21,9.72,1.57,7.76,10.78,3.64,3.87,6.34,0.52,1.58,14.54,8.56,6.33,11.9,9.71,11.12,13.81,3.46,9.68,7.62
296,03-11-2021,Totale vaccinazioni,155537.0,71965.0,142176.0,29543.0,651660.0,121278.0,585389.0,7561.0,65860.0,185759.0,36798.0,25044.0,23841.0,554913.0,304776.0,35772.0,341513.0,121462.0,42316.0,11059.0,208552.0
297,03-11-2021,Totale vaccinazioni ogni cento ab,11.92,12.87,7.3,0.51,14.61,9.98,9.96,0.49,0.65,12.18,12.04,4.7,4.4,12.74,7.56,2.18,6.83,3.26,4.8,8.8,4.25
300,03-12-2021,Totale vaccinazioni,71302.0,50656.0,5092.0,116458.0,400873.0,92913.0,665038.0,80866.0,361851.0,77183.0,24300.0,56965.0,13869.0,262499.0,79451.0,134468.0,616978.0,493557.0,89845.0,2786.0,259181.0
301,03-12-2021,Totale vaccinazioni ogni cento ab,5.46,9.06,0.26,2.01,8.99,7.65,11.31,5.22,3.6,5.06,7.95,10.69,2.56,6.03,1.97,8.2,12.34,13.23,10.19,2.22,5.28
304,03-13-2021,Totale vaccinazioni,65281.0,4198.0,117195.0,131670.0,55527.0,175499.0,26434.0,74876.0,1120601.0,84582.0,43524.0,80428.0,31672.0,397510.0,29096.0,98480.0,45253.0,34664.0,47310.0,15188.0,550630.0
305,03-13-2021,Totale vaccinazioni ogni cento ab,5.0,0.75,6.02,2.27,1.25,14.44,0.45,4.83,11.14,5.55,14.24,15.09,5.85,9.12,0.72,6.01,0.91,0.93,5.36,12.09,11.22
308,03-14-2021,Totale vaccinazioni,92383.0,1008.0,145326.0,581738.0,442882.0,135133.0,530060.0,206282.0,981463.0,96525.0,21842.0,44490.0,51708.0,424262.0,353196.0,153577.0,492841.0,307232.0,50638.0,9536.0,439079.0
309,03-14-2021,Totale vaccinazioni ogni cento ab,7.08,0.18,7.46,10.03,9.93,11.12,9.02,13.3,9.76,6.33,7.15,8.35,9.55,9.74,8.77,9.37,9.86,8.24,5.74,7.59,8.95
312,03-15-2021,Totale vaccinazioni,87006.0,31854.0,195593.0,664216.0,256573.0,79031.0,349862.0,36472.0,144154.0,35952.0,30314.0,5304.0,19385.0,640082.0,282116.0,95755.0,110629.0,8298.0,101545.0,4032.0,94886.0
313,03-15-2021,Totale vaccinazioni ogni cento ab,6.67,5.7,10.05,11.45,5.75,6.5,5.95,2.35,1.43,2.36,9.92,1.0,3.58,14.69,7.0,5.84,2.21,0.22,11.51,3.21,1.93
316,03-16-2021,Totale vaccinazioni,117914.0,28138.0,33191.0,161395.0,205447.0,87174.0,105097.0,186370.0,529776.0,45723.0,35773.0,9552.0,71011.0,90005.0,503332.0,19445.0,260551.0,444564.0,85992.0,9711.0,52235.0
317,03-16-2021,Totale vaccinazioni ogni cento ab,9.04,5.03,1.7,2.78,4.61,7.17,1.79,12.02,5.27,3.0,11.71,1.79,13.12,2.07,12.49,1.19,5.21,11.92,9.75,7.73,1.06
320,03-17-2021,Totale vaccinazioni,47456.0,16279.0,174163.0,279833.0,465452.0,124380.0,789323.0,148725.0,771109.0,124823.0,38469.0,69709.0,7182.0,436457.0,40316.0,127155.0,570739.0,455493.0,82490.0,16476.0,419879.0
321,03-17-2021,Totale vaccinazioni ogni cento ab,3.64,2.91,8.94,4.82,10.44,10.24,13.43,9.59,7.66,8.18,12.59,13.08,1.33,10.02,1.0,7.76,11.42,12.21,9.35,13.11,8.56
324,03-18-2021,Totale vaccinazioni,164455.0,57099.0,45517.0,178664.0,327756.0,64511.0,370126.0,199781.0,1061790.0,144264.0,13273.0,53364.0,21613.0,26665.0,439388.0,74503.0,70826.0,217488.0,66702.0,301.0,64543.0
325,03-18-2021,Totale vaccinazioni ogni cento ab,12.6,10.21,2.34,3.08,7.35,5.31,6.3,12.88,10.55,9.46,4.34,10.01,3.99,0.61,10.91,4.54,1.42,5.83,7.56,0.24,1.32
328,03-19-2021,Totale vaccinazioni,31512.0,70182.0,49699.0,509797.0,173177.0,29242.0,701128.0,211320.0,273167.0,191889.0,40882.0,7200.0,69661.0,508489.0,349954.0,12561.0,230935.0,279820.0,13706.0,3671.0,473598.0
329,03-19-2021,Totale vaccinazioni ogni cento ab,2.41,12.55,2.55,8.79,3.88,2.41,11.93,13.63,2.72,12.58,13.38,1.35,12.87,11.67,8.69,0.77,4.62,7.5,1.55,2.92,9.65
332,03-20-2021,Totale vaccinazioni,38314.0,25420.0,109085.0,473790.0,361031.0,158705.0,91744.0,188654.0,831052.0,161011.0,15593.0,48111.0,64598.0,182051.0,174068.0,81211.0,534693.0,327642.0,10525.0,8891.0,460320.0
333,03-20-2021,Totale vaccinazioni ogni cento ab,2.94,4.55,5.6,8.17,8.1,13.06,1.56,12.17,8.26,10.56,5.1,9.03,11.93,4.18,4.32,4.95,10.69,8.78,1.19,7.08,9.38
336,03-21-2021,Totale vaccinazioni,166590.0,32844.0,29424.0,61508.0,568459.0,17610.0,297639.0,142022.0,113328.0,15953.0,10640.0,76338.0,46430.0,355506.0,144897.0,28510.0,174181.0,496778.0,6758.0,18328.0,189221.0
337,03-21-2021,Totale vaccinazioni ogni cento ab,12.77,5.87,1.51,1.06,12.75,1.45,5.06,9.16,1.13,1.05,3.48,14.32,8.58,8.16,3.6,1.74,3.48,13.32,0.77,14.58,3.86
340,03-22-2021,Totale vaccinazioni,105511.0,73289.0,201435.0,264421.0,296115.0,75320.0,62258.0,143319.0,,87898.0,37575.0,70357.0,59541.0,478008.0,363953.0,15449.0,429143.0,203594.0,76867.0,167.0,273435.0
341,03-22-2021,Totale vaccinazioni ogni cento ab,8.09,13.11,10.35,4.56,6.64,6.2,1.06,9.24,,5.76,12.29,13.2,11.0,10.97,9.03,0.94,8.58,5.46,8.71,0.13,5.57
